,MAG,scaffold
0,42zhAM_073.fa,154463_AS_042zhAM
1,42zhAM_073.fa,248666_AS_042zhAM
2,50dbBF_049.fa,34_Firmicutes_sp_DTU-UNIPD966
3,50dbBF_049.fa,35_Firmicutes_sp_DTU-UNIPD966
4,50dbBF_049.fa,36_Firmicutes_sp_DTU-UNIPD966
5,50dbBF_049.fa,37_Firmicutes_sp_DTU-UNIPD966
6,50dbBF_049.fa,38_Firmicutes_sp_DTU-UNIPD966
7,50dbBF_049.fa,39_Firmicutes_sp_DTU-UNIPD966
8,50dbBF_058.fa,10_Limnochordia_sp_DTU-UNIPD975
9,50dbBF_058.fa,12_Limnochordia_sp_DTU-UNIPD975
10,50dbBF_058.fa,13_Limnochordia_sp_DTU-UNIPD975
11,50dbBF_058.fa,14_Limnochordia_sp_DTU-UNIPD975
12,50dbBF_058.fa,15_Limnochordia_sp_DTU-UNIPD975
13,50dbBF_058.fa,17_Limnochordia_sp_DTU-UNIPD975
14,50dbBF_058.fa,18_Limnochordia_sp_DTU-UNIPD975
15,50dbBF_058.fa,19_Limnochordia_sp_DTU-UNIPD975
16,50dbBF_058.fa,20_Limnochordia_sp_DTU-UNIPD975
17,50dbBF_058.fa,21_Limnochordia_sp_DTU-UNIPD975
18,50dbBF_058.fa,22_Limnochordia_sp_DTU-UNIPD975
19,50dbBF_058.fa,24_Limnochordia_sp_DTU-UNIPD975
20,50dbBF_058.fa,25_Limnochordia_sp_DTU-UNIPD975
21,50dbBF_058.fa,27_Limnochordia_sp_DTU-UNIPD975
22,50dbBF_058.fa,28_Limnochordia_sp_DTU-UNIPD975
23,50dbBF_058.fa,29_Limnochordia_sp_DTU-UNIPD975
24,50dbBF_058.fa,31_Limnochordia_sp_DTU-UNIPD975
25,50dbBF_058.fa,32_Limnochordia_sp_DTU-UNIPD975
26,50dbBF_058.fa,33_Limnochordia_sp_DTU-UNIPD975
27,50dbBF_058.fa,34_Limnochordia_sp_DTU-UNIPD975
28,50dbBF_058.fa,36_Limnochordia_sp_DTU-UNIPD975
29,50dbBF_058.fa,37_Limnochordia_sp_DTU-UNIPD975
30,50dbBF_058.fa,3_Limnochordia_sp_DTU-UNIPD975
31,50dbBF_058.fa,42_Limnochordia_sp_DTU-UNIPD975
32,50dbBF_058.fa,47_Limnochordia_sp_DTU-UNIPD975
33,50dbBF_058.fa,5_Limnochordia_sp_DTU-UNIPD975
34,50dbBF_058.fa,6_Limnochordia_sp_DTU-UNIPD975
35,50dbBF_058.fa,8_Limnochordia_sp_DTU-UNIPD975
36,23ysBP_6.fa,111634_AS23
37,23ysBP_6.fa,148981_AS23
38,23ysBP_6.fa,192792_AS23
39,23ysBP_6.fa,42030_AS23
40,08sgBP_415.fa,113009_AS08
41,08sgBP_415.fa,206807_AS08
42,08sgBP_415.fa,231396_AS08
43,08sgBP_415.fa,253449_AS08
44,08sgBP_415.fa,273368_AS08
45,08sgBP_415.fa,274991_AS08
46,28xzH2_30.fa,1153_AS28
47,28xzH2_30.fa,1180_AS28
48,28xzH2_30.fa,1231_AS28
49,28xzH2_30.fa,1784_AS28
50,28xzH2_30.fa,2217_AS28
51,28xzH2_30.fa,2471_AS28
52,28xzH2_30.fa,334_AS28
53,28xzH2_30.fa,372_AS28
54,28xzH2_30.fa,388_AS28
55,28xzH2_30.fa,431_AS28
56,28xzH2_30.fa,437_AS28
57,28xzH2_30.fa,442_AS28
58,28xzH2_30.fa,444_AS28
59,28xzH2_30.fa,457_AS28
60,28xzH2_30.fa,486_AS28
61,28xzH2_30.fa,506_AS28
62,28xzH2_30.fa,550_AS28
63,28xzH2_30.fa,562_AS28
64,28xzH2_30.fa,611_AS28
65,28xzH2_30.fa,663_AS28
66,28xzH2_30.fa,677_AS28
67,28xzH2_30.fa,758_AS28
68,28xzH2_30.fa,792_AS28
69,28xzH2_30.fa,800_AS28
70,28xzH2_30.fa,834_AS28
71,28xzH2_30.fa,883_AS28
72,28xzH2_30.fa,983_AS28
73,28xzH2_30.fa,985_AS28
74,31mySI_145.fa,13_MP_bin_97_unicycler_fna
75,31mySI_145.fa,14_MP_bin_97_unicycler_fna
76,31mySI_145.fa,1_MP_bin_97_unicycler_fna
77,31mySI_145.fa,24_MP_bin_97_unicycler_fna
78,31mySI_145.fa,25_MP_bin_97_unicycler_fna
79,31mySI_145.fa,2_MP_bin_97_unicycler_fna
80,31mySI_145.fa,36_MP_bin_97_unicycler_fna
81,31mySI_145.fa,40_MP_bin_97_unicycler_fna
82,31mySI_145.fa,45_MP_bin_97_unicycler_fna
83,31mySI_145.fa,48_MP_bin_97_unicycler_fna
84,31mySI_145.fa,5_MP_bin_97_unicycler_fna
85,31mySI_145.fa,6_MP_bin_97_unicycler_fna
86,31mySI_134.fa,20_MP_bin_8_unicycler_fna
87,31mySI_134.fa,4_MP_bin_8_unicycler_fna
88,31mySI_134.fa,5_MP_bin_8_unicycler_fna
89,52maCN_0528.fa,MCAHLJ01F1_344162
90,52maCN_0528.fa,MCAHLJ01F1_399054
91,52maCN_0528.fa,MCAHLJ01F1_436638
92,52maCN_0528.fa,MCAHLJ01F1_564057
93,52maCN_0528.fa,MCAHLJ01F1_996419
