,MAG,scaffold
0,28xzH2_30.fa,1088_AS28
1,28xzH2_30.fa,2018_AS28
2,28xzH2_30.fa,2214_AS28
3,28xzH2_30.fa,2597_AS28
4,31mySI_134.fa,2_MP_bin_8_unicycler_fna
5,31mySI_134.fa,3_MP_bin_8_unicycler_fna
6,31mySI_134.fa,6_MP_bin_8_unicycler_fna
7,31mySI_134.fa,7_MP_bin_8_unicycler_fna
8,31mySI_134.fa,8_MP_bin_8_unicycler_fna
9,31mySI_134.fa,9_MP_bin_8_unicycler_fna
10,31mySI_134.fa,10_MP_bin_8_unicycler_fna
11,31mySI_134.fa,11_MP_bin_8_unicycler_fna
12,31mySI_134.fa,12_MP_bin_8_unicycler_fna
13,31mySI_134.fa,13_MP_bin_8_unicycler_fna
14,31mySI_134.fa,14_MP_bin_8_unicycler_fna
15,31mySI_134.fa,15_MP_bin_8_unicycler_fna
16,31mySI_134.fa,16_MP_bin_8_unicycler_fna
17,31mySI_134.fa,17_MP_bin_8_unicycler_fna
18,31mySI_134.fa,18_MP_bin_8_unicycler_fna
19,31mySI_134.fa,19_MP_bin_8_unicycler_fna
20,31mySI_134.fa,21_MP_bin_8_unicycler_fna
21,31mySI_134.fa,22_MP_bin_8_unicycler_fna
22,31mySI_134.fa,23_MP_bin_8_unicycler_fna
23,31mySI_134.fa,24_MP_bin_8_unicycler_fna
24,31mySI_134.fa,25_MP_bin_8_unicycler_fna
25,31mySI_134.fa,26_MP_bin_8_unicycler_fna
26,31mySI_134.fa,27_MP_bin_8_unicycler_fna
27,31mySI_145.fa,3_MP_bin_97_unicycler_fna
28,31mySI_145.fa,4_MP_bin_97_unicycler_fna
29,31mySI_145.fa,7_MP_bin_97_unicycler_fna
30,31mySI_145.fa,8_MP_bin_97_unicycler_fna
31,31mySI_145.fa,9_MP_bin_97_unicycler_fna
32,31mySI_145.fa,10_MP_bin_97_unicycler_fna
33,31mySI_145.fa,11_MP_bin_97_unicycler_fna
34,31mySI_145.fa,12_MP_bin_97_unicycler_fna
35,31mySI_145.fa,15_MP_bin_97_unicycler_fna
36,31mySI_145.fa,16_MP_bin_97_unicycler_fna
37,31mySI_145.fa,17_MP_bin_97_unicycler_fna
38,31mySI_145.fa,18_MP_bin_97_unicycler_fna
39,31mySI_145.fa,19_MP_bin_97_unicycler_fna
40,31mySI_145.fa,20_MP_bin_97_unicycler_fna
41,31mySI_145.fa,21_MP_bin_97_unicycler_fna
42,31mySI_145.fa,22_MP_bin_97_unicycler_fna
43,31mySI_145.fa,23_MP_bin_97_unicycler_fna
44,31mySI_145.fa,26_MP_bin_97_unicycler_fna
45,31mySI_145.fa,27_MP_bin_97_unicycler_fna
46,31mySI_145.fa,28_MP_bin_97_unicycler_fna
47,31mySI_145.fa,29_MP_bin_97_unicycler_fna
48,31mySI_145.fa,30_MP_bin_97_unicycler_fna
49,31mySI_145.fa,31_MP_bin_97_unicycler_fna
50,31mySI_145.fa,32_MP_bin_97_unicycler_fna
51,31mySI_145.fa,33_MP_bin_97_unicycler_fna
52,31mySI_145.fa,34_MP_bin_97_unicycler_fna
53,31mySI_145.fa,35_MP_bin_97_unicycler_fna
54,31mySI_145.fa,37_MP_bin_97_unicycler_fna
55,31mySI_145.fa,38_MP_bin_97_unicycler_fna
56,31mySI_145.fa,39_MP_bin_97_unicycler_fna
57,31mySI_145.fa,41_MP_bin_97_unicycler_fna
58,31mySI_145.fa,42_MP_bin_97_unicycler_fna
59,31mySI_145.fa,43_MP_bin_97_unicycler_fna
60,31mySI_145.fa,44_MP_bin_97_unicycler_fna
61,31mySI_145.fa,46_MP_bin_97_unicycler_fna
62,31mySI_145.fa,47_MP_bin_97_unicycler_fna
63,31mySI_145.fa,49_MP_bin_97_unicycler_fna
64,42zhAM_073.fa,265323_AS_042zhAM
65,50dbBF_049.fa,40_Firmicutes_sp_DTU-UNIPD966
66,50dbBF_058.fa,4_Limnochordia_sp_DTU-UNIPD975
67,50dbBF_058.fa,7_Limnochordia_sp_DTU-UNIPD975
68,50dbBF_058.fa,9_Limnochordia_sp_DTU-UNIPD975
69,50dbBF_058.fa,11_Limnochordia_sp_DTU-UNIPD975
70,50dbBF_058.fa,16_Limnochordia_sp_DTU-UNIPD975
71,50dbBF_058.fa,23_Limnochordia_sp_DTU-UNIPD975
72,50dbBF_058.fa,26_Limnochordia_sp_DTU-UNIPD975
73,50dbBF_058.fa,30_Limnochordia_sp_DTU-UNIPD975
74,50dbBF_058.fa,35_Limnochordia_sp_DTU-UNIPD975
75,50dbBF_058.fa,38_Limnochordia_sp_DTU-UNIPD975
76,50dbBF_058.fa,39_Limnochordia_sp_DTU-UNIPD975
77,50dbBF_058.fa,40_Limnochordia_sp_DTU-UNIPD975
78,50dbBF_058.fa,41_Limnochordia_sp_DTU-UNIPD975
79,50dbBF_058.fa,43_Limnochordia_sp_DTU-UNIPD975
80,50dbBF_058.fa,44_Limnochordia_sp_DTU-UNIPD975
81,50dbBF_058.fa,45_Limnochordia_sp_DTU-UNIPD975
82,50dbBF_058.fa,46_Limnochordia_sp_DTU-UNIPD975
83,52maCN_0435.fa,MCAHLJ01F1_710481
84,52maCN_0528.fa,MCAHLJ01F1_83134
85,52maCN_0528.fa,MCAHLJ01F1_207139
86,52maCN_0528.fa,MCAHLJ01F1_424172
87,52maCN_0528.fa,MCAHLJ01F1_730109
