,MAG,window
0,42zhAM_073.fa,3456
1,50dbBF_049.fa,4967
2,50dbBF_058.fa,144128
3,23ysBP_6.fa,2156
4,08sgBP_415.fa,44026
5,28xzH2_30.fa,50995
6,31mySI_145.fa,255283
7,31mySI_134.fa,221087
8,52maCN_0528.fa,7820
9,52maCN_0435.fa,2930
